"","DATE","TIME","Tb","SUN_EXPOSURE","day","month","year","datetime"
"264","02/08/2017",11,36.6,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"265","02/08/2017",11,35.5,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"266","02/08/2017",11,34,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"267","02/08/2017",12,39,"Sun-shade","02","08","2017",2017-08-02 12:00:00
"268","02/08/2017",14,39.2,"Sun-shade","02","08","2017",2017-08-02 14:00:00
"269","03/08/2017",18,37.9,"Sun-shade","03","08","2017",2017-08-03 18:00:00
"270","03/08/2017",18,38.2,"Sun-shade","03","08","2017",2017-08-03 18:00:00
"271","03/08/2017",19,36,"Sun-shade","03","08","2017",2017-08-03 19:00:00
"272","03/08/2017",19,35.8,"Sun-shade","03","08","2017",2017-08-03 19:00:00
"273","17/05/2022",15,35.2,"Sun-shade","17","05","2022",2022-05-17 15:00:00
"274","17/05/2022",15,35.8,"Sun-shade","17","05","2022",2022-05-17 15:00:00
"275","17/05/2022",16,35,"Sun-shade","17","05","2022",2022-05-17 16:00:00
"276","17/05/2022",17,36,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"277","17/05/2022",17,33.8,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"278","17/05/2022",17,34,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"279","17/05/2022",19,33.8,"Sun-shade","17","05","2022",2022-05-17 19:00:00
"280","17/05/2022",19,33.8,"Sun-shade","17","05","2022",2022-05-17 19:00:00
"281","19/05/2022",9,31.6,"Sun-shade","19","05","2022",2022-05-19 09:00:00
"282","19/05/2022",11,34.2,"Sun-shade","19","05","2022",2022-05-19 11:00:00
"283","19/05/2022",12,33.2,"Sun-shade","19","05","2022",2022-05-19 12:00:00
"284","23/05/2022",9,32,"Sun-shade","23","05","2022",2022-05-23 09:00:00
"285","23/05/2022",10,33.2,"Sun-shade","23","05","2022",2022-05-23 10:00:00
"286","23/05/2022",11,33,"Sun-shade","23","05","2022",2022-05-23 11:00:00
