"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","dates"
"1756",164,180,18.4502067697616,19.197368799145,19.9457348135791,20.7601575209245,21.0395640469839,20.9692471258933,20.2802820594243,19.1694187690465,18.5308134429236,18.9759080940204,2022-06-13
"1757",164,240,17.8998266154301,18.965252057646,19.5510230224052,20.4713448824783,20.8459322308433,20.8633418980596,20.28788336361,19.1859318468327,18.5339688344531,18.9759080940204,2022-06-13
"1758",164,300,18.2739142796908,18.9087909903976,19.3241459541077,20.2081387085075,20.6516658424759,20.7476728021192,20.2855883958428,19.2021074870674,18.5371651215517,18.9759080940204,2022-06-13
"1759",164,360,19.0355919525253,19.1673016063424,19.3639056265831,20.0326595554013,20.4753971360472,20.6273002963272,20.2740354512882,19.2177593755535,18.5404005712562,18.9759080940204,2022-06-13
"1760",164,420,20.2457988716878,19.7804197776027,19.6447211471967,19.9791639130464,20.3419375907981,20.5119415295509,20.2544240005573,19.2327203148553,18.5436730797367,18.9759080940204,2022-06-13
"1761",164,480,21.9116154769434,20.8029992355313,20.2255951959815,20.0788234838368,20.2730416159567,20.4138047591337,20.22873158698,19.2468641625667,18.5469798381005,18.9759080940204,2022-06-13
"1762",164,540,23.7705264749053,22.2285846559814,21.0963061829037,20.3607109616009,20.2910031850267,20.3465498677728,20.1997707780615,19.2601175685662,18.5503176948669,18.9759080940204,2022-06-13
"1763",164,600,25.791951749387,23.8123392487606,22.2204354006441,20.8281710878859,20.4137313500906,20.3243100464799,20.1711749230828,19.2724736397799,18.5536832221148,18.9759080940204,2022-06-13
"1764",164,660,27.6870968894526,25.3856535839325,23.4745368181432,21.4560718789253,20.6476416543639,20.3593467677827,20.1472495433892,19.2840033306345,18.5570730439293,18.9759080940204,2022-06-13
"1765",164,720,29.173504941953,26.7948416140664,24.7097063777142,22.1889567480504,20.9835885692591,20.4590112955115,20.1326133720473,19.2948641491994,18.5604843553344,18.9759080940204,2022-06-13
"1766",164,780,30.1290862296319,27.8908131571582,25.7921629325668,22.9530200196269,21.3968885815273,20.6232905047297,20.1316356473053,19.3052967763782,18.5639150042607,18.9759080940204,2022-06-13
"1767",164,840,30.554914342077,28.5991527107333,26.6258815446197,23.6724660902175,21.8516200338622,20.8439270445613,20.1478033306522,19.3156119884825,18.5673638500302,18.9759080940204,2022-06-13
"1768",164,900,30.3973814514777,28.872554901931,27.1554427294973,24.2849836945081,22.3080081385812,21.1055168983401,20.183167772003,19.3261661334546,18.5708309757752,18.9759080940204,2022-06-13
"1769",164,960,29.6704632774079,28.6818748014181,27.3342414534447,24.7387541016427,22.7273890183626,21.3879942964652,20.2380144093027,19.3373288159193,18.5743177922272,18.9759080940204,2022-06-13
"1770",164,1020,28.5682022140003,28.101623288827,27.1701612559283,24.9989343481087,23.074826789703,21.6689375243972,20.3107722963312,19.3494475847953,18.5778270160084,18.9759080940204,2022-06-13
"1771",164,1080,27.2061611218624,27.2344011582364,26.7259074856321,25.0620515640745,23.3258184589625,21.9263759647331,20.3981384006936,19.362813812479,18.5813625205203,18.9759080940204,2022-06-13
"1772",164,1140,25.7308492020883,26.1802176664684,26.0672866650939,24.9446592085224,23.4692835627243,22.142142428315,20.4954670929491,19.3776342422803,18.5849290713677,18.9759080940204,2022-06-13
"1773",164,1200,23.9975947121157,24.9527675850873,25.2457767677389,24.6741807625127,23.5052865926651,22.3037475499027,20.5973523485911,19.3940127220061,18.5885319776952,18.9759080940204,2022-06-13
"1774",164,1260,22.7730596966067,23.7719035071073,24.3144843974878,24.2682643543888,23.4382364001525,22.4042617422519,20.6982272674294,19.411943927212,18.5921767015429,18.9759080940204,2022-06-13
"1775",164,1320,21.8639568582424,22.8747509923492,23.5095532220011,23.8052760783272,23.2853831726433,22.4417551821009,20.7928205249685,19.431317399002,18.595868465191,18.9759080940204,2022-06-13
"1776",164,1380,21.1117964034464,22.1218918049464,22.814754356594,23.3442295308551,23.0794653844201,22.4226278308896,20.8767172942582,19.4519306644452,18.5996118923275,18.9759080940204,2022-06-13
"1777",165,0,20.7277349693661,21.6226336428535,22.2449217190427,22.9133666169631,22.8474973482091,22.3595770014371,20.9470603170791,19.4735158554907,18.6034107940359,18.9759080940204,NA
"1778",165,60,20.2012506194372,21.0981621160499,21.7810918162028,22.5270558198206,22.6088113244066,22.2647354833102,21.0026527186286,19.4958024813037,18.6072666902655,18.9759080940204,2022-06-14
"1779",165,120,19.800241978169,20.6698493255168,21.351867263913,22.1701663152802,22.3706861458252,22.148879244482,21.0426608953409,19.5184662221887,18.611182618996,18.9759080940204,2022-06-14
"1780",165,180,19.0270686080721,20.4765116600507,20.9328267576145,21.8424477769883,22.1363931544012,22.0196801971754,21.0676495104207,19.5411952102072,18.6151591785474,18.9759080940204,2022-06-14
"1781",165,240,19.0623020239549,20.0529949068801,20.620695957578,21.5356512446705,21.9086934720126,21.8823541655725,21.0786647488791,19.563707116966,18.6191956124325,18.9759080940204,2022-06-14
"1782",165,300,19.4785057212215,20.0091847111277,20.4274451317565,21.2702632360686,21.6915471907363,21.7408836360696,21.0770174969004,19.5857407916057,18.6232905154177,18.9759080940204,2022-06-14
"1783",165,360,20.0812868067172,20.2479447522156,20.4567151221171,21.0938150306172,21.5004886008408,21.600500971662,21.0642104312677,19.6070715743111,18.627441574596,18.9759080940204,2022-06-14
"1784",165,420,21.0256956918091,20.7412291974915,20.676668455887,21.0255878284766,21.3543417488549,21.4698068135875,21.0421401003447,19.6275159848594,18.6316456706182,18.9759080940204,2022-06-14
"1785",165,480,22.3236191130675,21.5399201404342,21.1271028732022,21.0837154402718,21.267648901621,21.3585623062899,21.0132532596333,19.646938866874,18.6358991001277,18.9759080940204,2022-06-14
"1786",165,540,23.8402374413202,22.5925417821344,21.8078026012657,21.2864831392039,21.2554371419509,21.2769691450296,20.9805282458288,19.6652624747264,18.6401977724393,18.9759080940204,2022-06-14
"1787",165,600,25.3673932237883,23.7756294413172,22.660274957603,21.6330666489257,21.3290201100128,21.2352158605798,20.9474372211609,19.6824746779095,18.6445374378199,18.9759080940204,2022-06-14
"1788",165,660,26.7056013685038,24.9377474404762,23.5843509711791,22.0963841069337,21.4899392183451,21.2415416923505,20.917810260032,19.698635436975,18.6489139423525,18.9759080940204,2022-06-14
"1789",165,720,27.7417760281927,25.9543676409397,24.473961935085,22.6287435993343,21.7272075051611,21.2997915376647,20.8955197022204,19.713878767878,18.6533234979281,18.9759080940204,2022-06-14
"1790",165,780,28.4373020699127,26.7478396037055,25.2480743985895,23.176236655914,22.0195395221025,21.4079081321578,20.8840273814883,19.7284070860707,18.6577629444118,18.9759080940204,2022-06-14
"1791",165,840,28.4637991550713,27.1400371757944,25.8087037161444,23.6842933140516,22.3398949327954,21.5581100792312,20.8859325940826,19.7424767738542,18.6622299730005,18.9759080940204,2022-06-14
"1792",165,900,27.9808399627002,27.0098461587314,26.0347693879872,24.0773554568316,22.652580866935,21.7372201959633,20.9026165616436,19.7563764134809,18.6667232783442,18.9759080940204,2022-06-14
"1793",165,960,27.634505594501,26.5461904756747,25.9904334944042,24.3084739348729,22.9181286365752,21.926363908047,20.9338991769839,19.7703990102356,18.6712426233604,18.9759080940204,2022-06-14
"1794",165,1020,26.3853478161887,26.1819433316595,25.7251760788786,24.4003510832921,23.1151673340544,22.1055799131596,20.9778922298531,19.7848095234699,18.6757887999237,18.9759080940204,2022-06-14
"1795",165,1080,25.3641975773044,25.4998665970024,25.3207037863853,24.3629156757768,23.2384231237394,22.259868140764,21.0314148272796,19.7998154898587,18.6803634512523,18.9759080940204,2022-06-14
"1796",165,1140,24.3068898864365,24.7457612204525,24.7935052834073,24.2122847578787,23.2862548327263,22.3792376927237,21.0906175094783,19.8155502873577,18.6849688651716,18.9759080940204,2022-06-14
